date,event_type,location,kia,wia,economic_damage,summary,source_urls
"17 Sep 26","Targeted Killing","Khuzdar, Balochistan","1SF","0","","One police constable was killed in a targeted attack in Khuzdar.","https://t.me/Insurgent_Zone/4698"
"17 Sep 26","Economic Attack","Bannu, Khyber Pakhtunkhwa","","","1 machinery / equipment destroyed","Machinery was set on fire in Miryan, Bannu.","https://www.facebook.com/share/1EoYkGyQGX/"
"17 Sep 26","Intel Based Operation","North Waziristan, Khyber Pakhtunkhwa","4M","0","","Four TTP militants were killed in an intelligence-based operation in Shewa, North Waziristan.","https://x.com/TKCkhyber/status/2100544640202244556?s=20"
"17 Sep 26","Ambush","Sherani, Balochistan","2SF","2SF","","Two FC personnel, Muhammed Naeem and Ahmed Khan, were killed and two others injured in an ambush in Sherani.","https://www.facebook.com/share/p/19bPgkzfbw/"
"17 Sep 26","Ambush","Kachhi, Balochistan","3M","0","","Three BRG militants were killed in an ambush by security forces in Dhadar, Kachhi district.","https://x.com/War_Analysts/status/2100643592645886007?s=20"
"16 Sep 26","Ambush","Khuzdar, Balochistan","1SF
4IRR","0","","One police personnel and four pro-state committee members were killed in an ambush in Wadh, Khuzdar.","https://www.dawn.com/news/2030375/cop-among-5-killed-in-armed-attack-on-shafiq-mengals-khuzdar-camp | https://www.facebook.com/share/p/19Gn4y1Vez/"
"16 Sep 26","Checkpoint Attack","Peshawar, Khyber Pakhtunkhwa","0","2SF","","Two police personnel were injured when an IED exploded at the Srakhora police checkpost in Hasankhel, Peshawar.","https://t.me/Insurgent_Zone/4650"
"16 Sep 26","Ambush","Kech, Balochistan","2SF","0","","Two FC personnel were killed when armed individuals ambushed the protection team of a construction company in Hoshab, Kech.","https://thebalochistanpost.net/2026/09/turbat-attack-on-pakistani-forces-convoy-casualties-reported/ | https://www.facebook.com/share/p/1AfR4ZS8Px/"
"16 Sep 26","Armed Clash","South Waziristan, Khyber Pakhtunkhwa","1SF","0","","Sepoy Diyar Khan was killed in armed clashes in Wana, South Waziristan.","https://t.me/Insurgent_Zone/4678"
"15 Sep 26","Targeted Killing","Kech, Balochistan","1IRR","0","","An armed individual killed Abid, a member of a pro-state death squad, in the Kalatuk area of Turbat, Kech.","https://t.me/Insurgent_Zone/4638"
"15 Sep 26","Economic Attack","Chagai, Balochistan","","","1 vehicles / trucks destroyed","Armed individuals burned down one truck in Dalbandin, Chagai district, Balochistan.","https://t.me/Insurgent_Zone/4637"
"15 Sep 26","Targeted Killing","Khuzdar, Balochistan","1IRR","0","","Ehsan, a pro-state death squad member, was killed in a targeted attack in Naal, Khuzdar.","https://t.me/Insurgent_Zone/4617"
"15 Sep 26","Armed Clash","Mardan, Khyber Pakhtunkhwa","1M","2SF","","A TTP militant was killed and two police personnel were injured during an attack on a police checkpost in Takhtbhai, Mardan.","https://www.dawn.com/news/2030193 | https://x.com/TKCkhyber/status/2099770687682752571?s=20"
"15 Sep 26","Intel Based Operation","Bajaur, Khyber Pakhtunkhwa","1M","0","","ISKP militant Ibadullah was killed in an Intelligence Based Operation (IBO) in Salarzai, Bajaur.","https://x.com/TKCkhyber/status/2099731678663205034?s=20"
"15 Sep 26","Targeted Killing","Quetta, Balochistan","1SF","0","","Police Constable Muhammad Abbas was killed in a targeted attack in Quetta.","https://t.me/Insurgent_Zone/4661 | https://www.dailyindependent.com.pk/2026/09/17/funeral-prayers-held-for-martyred-constable-muhammad-abbas/"
"15 Sep 26","Ambush","Dir Upper, Khyber Pakhtunkhwa","2IRR","0","","One pro-state militia member was killed and one injured in an ambush in Sangar top, Dir Upper.","https://t.me/Insurgent_Zone/4641"
"14 Sep 26","Armed Clash","Bannu, Khyber Pakhtunkhwa","4IRR","2M","","Four members of the Hathikhel Peace Committee were killed during armed clashes with TTP militants in Domel, Bannu.","https://t.me/Insurgent_Zone/4597"
"14 Sep 26","Targeted Killing","South Waziristan, Khyber Pakhtunkhwa","1IRR","0","","A pro-state irregular, Umed, was killed in a targeted attack in Wana, South Waziristan.","https://t.me/Insurgent_Zone/4594"
"14 Sep 26","Intel Based Operation","Kech, Balochistan","4M","0","","Four BLF militants were killed during an intelligence-based operation (IBO) in Turbat.","https://x.com/Al_Muqatil786/status/2099594783996186728?s=20"
"14 Sep 26","Armed Clash","Mastung, Balochistan","1SF","0","","Havaldar Mehboob Ali Dasti, an army personnel, succumbed to injuries sustained during clashes in Balochistan.","https://www.facebook.com/share/p/1JYGq9TJXF/"
"14 Sep 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","1SF","0","","Elite Force personnel Constable Pir Ahmedullah was killed in a targeted attack in Bannu.","https://www.facebook.com/share/p/1ayL1rUrTk/"
"13 Sep 26","Intel Based Operation","Killa Abdullah, Balochistan","6M","1SF","","Six BLA militants were killed and five were detained during an intelligence-based operation (IBO) in Qilla Abdullah. One ATF personnel was injured in the operation.","https://www.facebook.com/share/p/1D8arDBcKr/"
"13 Sep 26","Ambush","South Waziristan, Khyber Pakhtunkhwa","2M","0","","Two IMP militants, including commander Nasir and Waqas alias Sohail Mughal Khel, were killed in an ambush in Wana, South Waziristan.","https://www.facebook.com/share/p/18o4nVwAga/"
"13 Sep 26","Targeted Killing","Tank, Khyber Pakhtunkhwa","0","1SF","","One police constable, Khairullah, was injured in a targeted attack in Tank.","https://www.facebook.com/share/p/1C1GTvvEy1/"
"13 Sep 26","IED Explosion","Kech, Balochistan","1SF","4SF","","FC Sepoy Waqar was killed in an IED attack in Tump, Kech district.","https://www.facebook.com/share/p/19KUa56LaG/"
"12 Sep 26","IED Explosion","Lasbela, Balochistan","4SF","7SF","","An IED struck two vehicles of the 15 Frontier Force in Kashari, Lasbela, resulting in the death of three soldiers and one civilian, and injuring five soldiers and two civilians. One vehicle was set on fire and the N-25 highway was closed.","https://x.com/InsurgentZone_/status/2098792932425740465?s=20"
"12 Sep 26","Armed Clash","Kech, Balochistan","0","1SF","","One police constable Tariq Dadullah was injured in an attack on his home in Tump, Kech.","https://t.me/Insurgent_Zone/4530"
"12 Sep 26","Economic Attack","Washuk, Balochistan","","","1 vehicles / trucks destroyed · 4 machinery / equipment destroyed","Armed individuals set fire to machinery belonging to a Lithium extraction company in Mashkel, Washuk district.","https://thebalochistanpost.net/2026/09/bla-brg-claim-operations-in-lasbela-jiwani-mashkel-and-kachhi/ | https://t.me/Insurgent_Zone/4528"
"12 Sep 26","Armed Clash","Tank, Khyber Pakhtunkhwa","1M","0","","A TTP militant, Ghufran alias Muntazir, was killed in an intelligence-based operation in Tank.","https://x.com/Pakilad3/status/2098738040177082511?s=20"
"12 Sep 26","Intel Based Operation","Khyber, Khyber Pakhtunkhwa","4M","0","","Four TTP militants, including commander Arab Gul alias Umar Khalid Ghazi, were killed in an intelligence-based operation in the Akakhel area of Bara, Khyber Pakhtunkhwa.","https://t.me/Insurgent_Zone/4525"
"12 Sep 26","Drone Strike","Mastung, Balochistan","3M","0","","Three BLA militants, including commander Naqeeb alias Ameer, were killed in a drone strike in Kardigap, Mastung.","https://x.com/Al_Muqatil786/status/2099153762770436309"
"11 Sep 26","Targeted Killing","Lakki Marwat, Khyber Pakhtunkhwa","1SF","0","","Police Constable Imran was shot dead in the Abdulkhel area of Ghaznikhel, Lakki Marwat.","https://www.facebook.com/share/p/1T5pEJQcqm/"
"11 Sep 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","1SF","0","","Constable Obaidullah was killed in a targeted attack in the Sardikhel area of Bakakhel, Bannu.","https://www.facebook.com/share/p/1DbMsmTt6R/"
"11 Sep 26","Ambush","Kurram, Khyber Pakhtunkhwa","6SF","5SF","","Militants affiliated with Tehrik-e-Taliban Pakistan (TTP) ambushed security forces in the Manato area of Central Kurram, resulting in the death of four Frontier Corps SOG personnel.","https://www.facebook.com/share/p/1EhcptstG9/"
"11 Sep 26","Ambush","Surab, Balochistan","2SF","4SF","","Two Frontier Corps (FC) personnel were killed and four others injured in an ambush in the Gider area of Surab, Balochistan.","https://t.me/Insurgent_Zone/4516"
"11 Sep 26","IED Explosion","Gwadar, Balochistan","2SF","0","","An NLC vehicle was targeted in an IED attack in Jiwani, killing one Military Intelligence personnel and three NLC employees.","https://terrormonitor.com/post/pakistan-eight-killed-in-separate-terrorist-attacks-in-gwadar-and-lasbela-including-four-nlc-employees | https://x.com/Pakilad3/status/2098736899481600423?s=20"
"11 Sep 26","Checkpoint Attack","Gwadar, Balochistan","1SF","0","","Armed individuals attacked a CheckPost in Jiwani, Gwadar, resulting in the death of Navy personnel Nafees Abid.","https://www.facebook.com/share/p/1885RvtN5W/"
"10 Sep 26","Armed Clash","Mastung, Balochistan","1SF","1SF","","One police personnel was killed and another injured in an attack on a police checkpost in Mastung.","https://x.com/ParaSF007/status/2098064926707462445?s=20"
"10 Sep 26","Encounter","Peshawar, Khyber Pakhtunkhwa","5M","0","","Five ISKP militants were killed in an encounter in Peshawar.","https://x.com/War_Analysts/status/2098107137222177231"
"10 Sep 26","Sniper Attack","Orakzai, Khyber Pakhtunkhwa","1SF","0","","A Lance Naik of the FC was killed in a sniper attack on a joint FC and Police checkpost in Orakzai.","https://www.facebook.com/share/p/1LhNu9B2Zo/"
"10 Sep 26","Sniper Attack","Kotli, Azad Jammu & Kashmir","1SF","0","","A Pakistan Rangers soldier was critically injured in a sniper attack in Kotli, Azad Kashmir, and later died during treatment. Armed individuals allegedly affiliated with JAAC are suspected.","https://x.com/Mohsin_o2/status/2098022337300123907?s=20"
"09 Sep 26","Ambush","Karak, Khyber Pakhtunkhwa","1SF","1SF","","One police ASI Zafran was killed and another police personnel injured when their vehicle was ambushed in Karak.","https://english.aaj.tv/news/330471505 | https://x.com/LalWazir19/status/2097566690980864380"
"08 Sep 26","Economic Attack","Tank, Khyber Pakhtunkhwa","","","1 vehicles / trucks destroyed","Militants burned down a vehicle carrying rations for an FC post in Jandola, Tank.","https://t.me/Insurgent_Zone/4420"
"08 Sep 26","Armed Clash","Kurram, Khyber Pakhtunkhwa","4M","0","","Four TTP militants were killed during an intelligence-based operation in central Kurram district.","https://x.com/Warfrontops/status/2097334624410382387?s=20"
"08 Sep 26","Drone Strike","Hangu, Khyber Pakhtunkhwa","0","2SF","","Two police personnel were injured in a drone strike on a checkpost in Hangu.","https://x.com/Pakilad3/status/2097335289291386975?s=20"
"08 Sep 26","Economic Attack","Panjgur, Balochistan","","","1 vehicles / trucks destroyed","In the Parom area of Panjgur, one vehicle carrying ration was burned and another was seized.","https://t.me/Insurgent_Zone/4423"
"07 Sep 26","Sniper Attack","South Waziristan, Khyber Pakhtunkhwa","1SF","0","","Sepoy Ali Nawaz was killed in a sniper attack in Shakai, South Waziristan.","https://t.me/Insurgent_Zone/4397"
"07 Sep 26","Armed Clash","Washuk, Balochistan","3M","0","","Three BLF militants were killed in armed clashes in Basima, Washuk.","https://x.com/Al_Muqatil786/status/2097000723779301624?s=20"
"07 Sep 26","Targeted Killing","North Waziristan, Khyber Pakhtunkhwa","1SF","0","","Lance Naik Umar Gul of the FC was shot dead in Shewa, North Waziristan.","https://t.me/Insurgent_Zone/4411"
"07 Sep 26","Economic Attack","Awaran, Balochistan","","","1 cell towers destroyed","A Ufone cell tower was set ablaze in the Jhao ara area of Awaran district.","https://www.facebook.com/share/v/17SBDVFm7Y/"
"07 Sep 26","Grenade Attack","Mastung, Balochistan","0","1SF","","One police personnel was injured in a grenade attack on a police station in Mastung.","https://x.com/Info_Balochistn/status/2096870854290444526?s=20"
"06 Sep 26","Grenade Attack","Quetta, Balochistan","0","1SF","","One police personnel was injured in a grenade attack on the Shalkot police station in Quetta.","https://t.me/Insurgent_Zone/4343"
"06 Sep 26","Intel Based Operation","Hangu, Khyber Pakhtunkhwa","2M","0","","Two TTP militants were killed in Hangu.","https://x.com/Al_Muqatil786/status/2096683636607373444"
"06 Sep 26","Rocket Attack","Kharan, Balochistan","8M","0","","Eight Baloch Liberation Army (BLA) militants were killed in a rocket strike by security forces in Kharan, Balochistan.","https://x.com/Al_Muqatil786/status/2096680256933687467?s=20"
"06 Sep 26","Economic Attack","Kalat, Balochistan","","","1 vehicles / trucks destroyed","A fuel bowser was burned and two small vehicles were stolen in the Rodenjo area of Kalat, Balochistan.","https://www.facebook.com/share/p/1PFAw3kxor/"
"05 Sep 26","Ambush","Turbat, Balochistan","0","1SF","","FC Personnel Naik Asif Khetran was seriously injured in an attack in Turbat.","https://www.facebook.com/share/p/19hcRt14fh/"
"05 Sep 26","Drone Strike","South Waziristan, Khyber Pakhtunkhwa","1SF","1SF","","Sepoy Rizwanullah was killed and another army personnel was injured in a drone strike on a checkpost in Wana, South Waziristan.","https://www.facebook.com/share/p/1DwF5p8AS8/"
"05 Sep 26","Intel Based Operation","North Waziristan, Khyber Pakhtunkhwa","9M","0","","Seven TTP militants were killed in an incident in Ghulam Khan, North Waziristan.","https://t.me/Insurgent_Zone/4346"
